,Country,GDP_USD_millions
0,United States,"26,854,599"
1,China,"19,373,586"
2,Japan,"4,409,738"
3,Germany,"4,308,854"
4,India,"3,736,882"
5,United Kingdom,"3,158,938"
6,France,"2,923,489"
7,Italy,"2,169,745"
8,Canada,"2,089,672"
9,Brazil,"2,081,235"
10,Russia,"2,062,649"
11,South Korea,"1,721,909"
12,Australia,"1,707,548"
13,Mexico,"1,663,164"
14,Spain,"1,492,432"
15,Indonesia,"1,391,778"
16,Netherlands,"1,080,880"
17,Saudi Arabia,"1,061,902"
18,Turkey,"1,029,303"
19,Switzerland,"869,601"
20,Taiwan,"790,728"
21,Poland,"748,887"
22,Argentina,"641,102"
23,Belgium,"624,248"
24,Sweden,"599,052"
25,Ireland,"594,095"
26,Thailand,"574,231"
27,Norway,"554,105"
28,Israel,"539,223"
29,Singapore,"515,548"
30,Austria,"515,199"
31,Nigeria,"506,601"
32,United Arab Emirates,"498,978"
33,Vietnam,"449,094"
34,Malaysia,"447,026"
35,Philippines,"440,901"
36,Bangladesh,"420,516"
37,Denmark,"405,626"
38,South Africa,"399,015"
39,Hong Kong,"382,854"
40,Egypt,"378,110"
41,Iran,"367,970"
42,Chile,"358,557"
43,Romania,"348,902"
44,Colombia,"334,689"
45,Czech Republic,"330,483"
46,Finland,"301,670"
47,Peru,"268,235"
48,Iraq,"267,893"
49,Portugal,"267,721"
50,New Zealand,"251,969"
51,Kazakhstan,"245,695"
52,Greece,"239,300"
53,Qatar,"219,570"
54,Algeria,"206,007"
55,Hungary,"188,505"
56,Kuwait,"164,713"
57,Ethiopia,"156,083"
58,Ukraine,"148,712"
59,Morocco,"138,781"
60,Slovakia,"127,533"
61,Ecuador,"121,291"
62,Dominican Republic,"121,289"
63,Puerto Rico,"120,838"
64,Kenya,"118,130"
65,Angola,"117,877"
66,Oman,"104,902"
67,Guatemala,"102,309"
68,Bulgaria,"100,635"
69,Venezuela,"96,628"
70,Uzbekistan,"92,332"
71,Luxembourg,"86,971"
72,Tanzania,"85,421"
73,Turkmenistan,"82,649"
74,Croatia,"78,881"
75,Lithuania,"78,346"
76,Costa Rica,"77,777"
77,Uruguay,"77,313"
78,Panama,"77,257"
79,Ivory Coast,"77,047"
80,Serbia,"73,961"
81,Belarus,"73,543"
82,Azerbaijan,"70,030"
83,DR Congo,"69,474"
84,Slovenia,"68,108"
85,Ghana,"66,622"
86,Myanmar,"63,988"
87,Jordan,"52,061"
88,Tunisia,"49,815"
89,Uganda,"49,792"
90,Cameroon,"48,625"
91,Latvia,"47,398"
92,Sudan,"46,705"
93,Libya,"46,297"
94,Bolivia,"46,097"
95,Bahrain,"44,870"
96,Paraguay,"42,820"
97,Nepal,"42,097"
98,Estonia,"41,551"
99,Macau,"35,841"
100,El Salvador,"33,752"
101,Honduras,"32,860"
102,Papua New Guinea,"31,362"
103,Senegal,"31,221"
104,Cyprus,"30,864"
105,Cambodia,"30,628"
106,Zimbabwe,"29,931"
107,Zambia,"29,272"
108,Iceland,"28,625"
109,Bosnia and Herzegovina,"28,488"
110,Trinidad and Tobago,"28,223"
111,Georgia,"27,947"
112,Haiti,"26,580"
113,Armenia,"23,725"
114,Guinea,"23,330"
115,Burkina Faso,"21,076"
116,Mali,"20,776"
117,Gabon,"20,330"
118,Albania,"20,177"
119,Mozambique,"19,909"
120,Palestine,"19,206"
121,Botswana,"19,572"
122,Yemen,"19,529"
123,Malta,"19,405"
124,Benin,"19,236"
125,Nicaragua,"17,287"
126,Jamaica,"17,254"
127,Mongolia,"16,908"
128,Niger,"16,617"
129,Guyana,"16,309"
130,Brunei,"15,988"
131,Madagascar,"15,969"
132,Moldova,"15,829"
133,North Macedonia,"15,278"
134,Equatorial Guinea,"15,099"
135,Mauritius,"14,570"
136,Bahamas,"14,114"
137,Laos,"14,091"
138,Namibia,"13,486"
139,Rwanda,"13,149"
140,Congo,"13,031"
141,Tajikistan,"12,796"
142,Kyrgyzstan,"12,309"
143,Chad,"11,962"
144,Malawi,"11,277"
145,Mauritania,"10,966"
146,Kosovo,"9,990"
147,Togo,"9,001"
148,Somalia,"8,738"
149,Montenegro,"7,027"
150,South Sudan,"7,012"
151,Maldives,"7,004"
152,Barbados,"6,117"
153,Fiji,"5,385"
154,Eswatini,"4,824"
155,Liberia,"4,375"
156,Djibouti,"3,916"
157,Andorra,"3,669"
158,Aruba,"3,633"
159,Sierra Leone,"3,520"
160,Suriname,"3,470"
161,Burundi,"3,234"
162,Belize,"3,162"
163,Central African Republic,"2,736"
164,Bhutan,"2,683"
165,Eritrea,"2,666"
166,Lesotho,"2,584"
167,Cape Verde,"2,468"
168,Gambia,"2,277"
169,Saint Lucia,"2,262"
170,East Timor,"1,988"
171,Seychelles,"1,950"
172,Guinea-Bissau,"1,887"
173,Antigua and Barbuda,"1,864"
174,San Marino,"1,807"
175,Solomon Islands,"1,701"
176,Comoros,"1,348"
177,Grenada,"1,274"
178,Vanuatu,"1,064"
179,Saint Kitts and Nevis,"1,052"
180,Saint Vincent and the Grenadines,"1,039"
181,Samoa,898
182,Dominica,681
183,São Tomé and Príncipe,625
184,Tonga,541
185,Micronesia,456
186,Marshall Islands,291
187,Palau,262
188,Kiribati,248
189,Nauru,151
190,Tuvalu,65
